scenario,policy_type,model,indicator,quarter,impact
Expansionary Monetary Policy,monetary,dsge,government_debt,6,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,7,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,8,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,0,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,1,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,2,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,3,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,4,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,5,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,6,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,7,0.0
Expansionary Monetary Policy,monetary,dsge,trade_balance,8,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,0,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,1,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,2,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,3,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,4,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,5,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,6,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,7,0.0
Expansionary Monetary Policy,monetary,dsge,real_exchange_rate,8,0.0
Expansionary Monetary Policy,monetary,svar,gdp_growth,0,0.0
Expansionary Monetary Policy,monetary,svar,gdp_growth,1,0.05811555590231423
Expansionary Monetary Policy,monetary,svar,gdp_growth,2,0.5688230767629715
Expansionary Monetary Policy,monetary,svar,gdp_growth,3,1.2457795589577811
Expansionary Monetary Policy,monetary,svar,gdp_growth,4,1.3481944931997392
Expansionary Monetary Policy,monetary,svar,gdp_growth,5,1.1426040551573697
Expansionary Monetary Policy,monetary,svar,gdp_growth,6,1.142605976036946
Expansionary Monetary Policy,monetary,svar,gdp_growth,7,1.354767899414365
Expansionary Monetary Policy,monetary,svar,gdp_growth,8,0.6747898633108904
Expansionary Monetary Policy,monetary,svar,inflation,0,0.0
Expansionary Monetary Policy,monetary,svar,inflation,1,-0.061031670171543775
Expansionary Monetary Policy,monetary,svar,inflation,2,0.7205328056661754
Expansionary Monetary Policy,monetary,svar,inflation,3,1.23975569993438
Expansionary Monetary Policy,monetary,svar,inflation,4,1.2394551320358667
Expansionary Monetary Policy,monetary,svar,inflation,5,1.3314550953035844
Expansionary Monetary Policy,monetary,svar,inflation,6,1.0512735681944863
Expansionary Monetary Policy,monetary,svar,inflation,7,1.0757606817733059
Expansionary Monetary Policy,monetary,svar,inflation,8,0.5769026211986735
Expansionary Monetary Policy,monetary,svar,unemployment,0,0.0
Expansionary Monetary Policy,monetary,svar,unemployment,1,-0.09216763195043258
Expansionary Monetary Policy,monetary,svar,unemployment,2,-0.4264034927338301
Expansionary Monetary Policy,monetary,svar,unemployment,3,-0.9926301908724302
Expansionary Monetary Policy,monetary,svar,unemployment,4,-1.0385196368215115
Expansionary Monetary Policy,monetary,svar,unemployment,5,-0.7766259620281386
Expansionary Monetary Policy,monetary,svar,unemployment,6,-0.9305456433442748
Expansionary Monetary Policy,monetary,svar,unemployment,7,-0.903854933373399
Expansionary Monetary Policy,monetary,svar,unemployment,8,-0.5846520849454246
Expansionary Monetary Policy,monetary,svar,current_account,0,0.0
Expansionary Monetary Policy,monetary,svar,current_account,1,-0.0283079016753095
Expansionary Monetary Policy,monetary,svar,current_account,2,0.26576797466491303
Expansionary Monetary Policy,monetary,svar,current_account,3,0.46014833397404026
Expansionary Monetary Policy,monetary,svar,current_account,4,0.539536296953975
Expansionary Monetary Policy,monetary,svar,current_account,5,0.48876678812422214
Expansionary Monetary Policy,monetary,svar,current_account,6,0.5048319250107496
Expansionary Monetary Policy,monetary,svar,current_account,7,0.4887112561640714
Expansionary Monetary Policy,monetary,svar,current_account,8,0.3563184655944648
Expansionary Monetary Policy,monetary,svar,government_debt,0,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,1,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,2,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,3,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,4,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,5,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,6,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,7,0.0
Expansionary Monetary Policy,monetary,svar,government_debt,8,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,0,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,1,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,2,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,3,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,4,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,5,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,6,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,7,0.0
Expansionary Monetary Policy,monetary,svar,trade_balance,8,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,0,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,1,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,2,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,3,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,4,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,5,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,6,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,7,0.0
Expansionary Monetary Policy,monetary,svar,real_exchange_rate,8,0.0
Expansionary Monetary Policy,monetary,rbc,gdp_growth,0,0.0
Expansionary Monetary Policy,monetary,rbc,gdp_growth,1,0.03874370393487615
Expansionary Monetary Policy,monetary,rbc,gdp_growth,2,0.3792153845086476
Expansionary Monetary Policy,monetary,rbc,gdp_growth,3,0.8305197059718541
Expansionary Monetary Policy,monetary,rbc,gdp_growth,4,0.8987963287998261
Expansionary Monetary Policy,monetary,rbc,gdp_growth,5,0.7617360367715799
Expansionary Monetary Policy,monetary,rbc,gdp_growth,6,0.7617373173579639
Expansionary Monetary Policy,monetary,rbc,gdp_growth,7,0.9031785996095766
Expansionary Monetary Policy,monetary,rbc,gdp_growth,8,0.4498599088739269
Expansionary Monetary Policy,monetary,rbc,inflation,0,0.0
Expansionary Monetary Policy,monetary,rbc,inflation,1,-0.048825336137235026
Expansionary Monetary Policy,monetary,rbc,inflation,2,0.5764262445329403
Expansionary Monetary Policy,monetary,rbc,inflation,3,0.9918045599475039
Expansionary Monetary Policy,monetary,rbc,inflation,4,0.9915641056286933
Expansionary Monetary Policy,monetary,rbc,inflation,5,1.0651640762428676
Expansionary Monetary Policy,monetary,rbc,inflation,6,0.841018854555589
Expansionary Monetary Policy,monetary,rbc,inflation,7,0.8606085454186446
Expansionary Monetary Policy,monetary,rbc,inflation,8,0.46152209695893887
Expansionary Monetary Policy,monetary,rbc,unemployment,0,0.0
Expansionary Monetary Policy,monetary,rbc,unemployment,1,-0.05266721825739004
Expansionary Monetary Policy,monetary,rbc,unemployment,2,-0.24365913870504577
Expansionary Monetary Policy,monetary,rbc,unemployment,3,-0.567217251927103
Expansionary Monetary Policy,monetary,rbc,unemployment,4,-0.5934397924694352
Expansionary Monetary Policy,monetary,rbc,unemployment,5,-0.44378626401607923
Expansionary Monetary Policy,monetary,rbc,unemployment,6,-0.5317403676252999
Expansionary Monetary Policy,monetary,rbc,unemployment,7,-0.516488533356228
Expansionary Monetary Policy,monetary,rbc,unemployment,8,-0.3340869056830998
Expansionary Monetary Policy,monetary,rbc,current_account,0,0.0
Expansionary Monetary Policy,monetary,rbc,current_account,1,-0.01415395083765475
Expansionary Monetary Policy,monetary,rbc,current_account,2,0.13288398733245652
Expansionary Monetary Policy,monetary,rbc,current_account,3,0.23007416698702013
Expansionary Monetary Policy,monetary,rbc,current_account,4,0.2697681484769875
Expansionary Monetary Policy,monetary,rbc,current_account,5,0.24438339406211107
Expansionary Monetary Policy,monetary,rbc,current_account,6,0.2524159625053748
Expansionary Monetary Policy,monetary,rbc,current_account,7,0.2443556280820357
Expansionary Monetary Policy,monetary,rbc,current_account,8,0.1781592327972324
Expansionary Monetary Policy,monetary,rbc,government_debt,0,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,1,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,2,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,3,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,4,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,5,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,6,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,7,0.0
Expansionary Monetary Policy,monetary,rbc,government_debt,8,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,0,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,1,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,2,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,3,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,4,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,5,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,6,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,7,0.0
Expansionary Monetary Policy,monetary,rbc,trade_balance,8,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,0,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,1,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,2,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,3,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,4,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,5,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,6,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,7,0.0
Expansionary Monetary Policy,monetary,rbc,real_exchange_rate,8,0.0
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,0,0.0
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,1,0.07103012388060628
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,2,0.6952282049325207
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,3,1.5226194609483992
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,4,1.6477932694663477
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,5,1.3965160674145631
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,6,1.3965184151562673
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,7,1.6558274326175573
Expansionary Monetary Policy,monetary,behavioral,gdp_growth,8,0.824743166268866
Expansionary Monetary Policy,monetary,behavioral,inflation,0,0.0
Expansionary Monetary Policy,monetary,behavioral,inflation,1,-0.07934117122300692
Expansionary Monetary Policy,monetary,behavioral,inflation,2,0.9366926473660281
Expansionary Monetary Policy,monetary,behavioral,inflation,3,1.611682409914694
Expansionary Monetary Policy,monetary,behavioral,inflation,4,1.6112916716466268
Expansionary Monetary Policy,monetary,behavioral,inflation,5,1.73089162389466
Expansionary Monetary Policy,monetary,behavioral,inflation,6,1.3666556386528321
Expansionary Monetary Policy,monetary,behavioral,inflation,7,1.3984888863052976
Expansionary Monetary Policy,monetary,behavioral,inflation,8,0.7499734075582757
Expansionary Monetary Policy,monetary,behavioral,unemployment,0,0.0
Expansionary Monetary Policy,monetary,behavioral,unemployment,1,-0.10533443651478008
Expansionary Monetary Policy,monetary,behavioral,unemployment,2,-0.48731827741009154
Expansionary Monetary Policy,monetary,behavioral,unemployment,3,-1.134434503854206
Expansionary Monetary Policy,monetary,behavioral,unemployment,4,-1.1868795849388705
Expansionary Monetary Policy,monetary,behavioral,unemployment,5,-0.8875725280321585
Expansionary Monetary Policy,monetary,behavioral,unemployment,6,-1.0634807352505997
Expansionary Monetary Policy,monetary,behavioral,unemployment,7,-1.032977066712456
Expansionary Monetary Policy,monetary,behavioral,unemployment,8,-0.6681738113661996
Expansionary Monetary Policy,monetary,behavioral,current_account,0,0.0
Expansionary Monetary Policy,monetary,behavioral,current_account,1,-0.035384877094136874
Expansionary Monetary Policy,monetary,behavioral,current_account,2,0.3322099683311413
Expansionary Monetary Policy,monetary,behavioral,current_account,3,0.5751854174675504
Expansionary Monetary Policy,monetary,behavioral,current_account,4,0.6744203711924687
Expansionary Monetary Policy,monetary,behavioral,current_account,5,0.6109584851552777
Expansionary Monetary Policy,monetary,behavioral,current_account,6,0.631039906263437
Expansionary Monetary Policy,monetary,behavioral,current_account,7,0.6108890702050892
Expansionary Monetary Policy,monetary,behavioral,current_account,8,0.44539808199308095
Expansionary Monetary Policy,monetary,behavioral,government_debt,0,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,1,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,2,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,3,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,4,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,5,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,6,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,7,0.0
Expansionary Monetary Policy,monetary,behavioral,government_debt,8,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,0,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,1,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,2,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,3,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,4,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,5,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,6,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,7,0.0
Expansionary Monetary Policy,monetary,behavioral,trade_balance,8,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,0,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,1,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,2,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,3,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,4,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,5,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,6,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,7,0.0
Expansionary Monetary Policy,monetary,behavioral,real_exchange_rate,8,0.0
Expansionary Monetary Policy,monetary,financial,gdp_growth,0,0.0
Expansionary Monetary Policy,monetary,financial,gdp_growth,1,0.045200987924022176
Expansionary Monetary Policy,monetary,financial,gdp_growth,2,0.4424179485934222
Expansionary Monetary Policy,monetary,financial,gdp_growth,3,0.9689396569671631
Expansionary Monetary Policy,monetary,financial,gdp_growth,4,1.0485957169331304
Expansionary Monetary Policy,monetary,financial,gdp_growth,5,0.8886920429001764
Expansionary Monetary Policy,monetary,financial,gdp_growth,6,0.8886935369176246
Expansionary Monetary Policy,monetary,financial,gdp_growth,7,1.0537083662111726
Expansionary Monetary Policy,monetary,financial,gdp_growth,8,0.5248365603529147
Expansionary Monetary Policy,monetary,financial,inflation,0,0.0
Expansionary Monetary Policy,monetary,financial,inflation,1,-0.05492850315438941
Expansionary Monetary Policy,monetary,financial,inflation,2,0.648479525099558
Expansionary Monetary Policy,monetary,financial,inflation,3,1.115780129940942
Expansionary Monetary Policy,monetary,financial,inflation,4,1.1155096188322802
Expansionary Monetary Policy,monetary,financial,inflation,5,1.1983095857732262
Expansionary Monetary Policy,monetary,financial,inflation,6,0.9461462113750377
Expansionary Monetary Policy,monetary,financial,inflation,7,0.9681846135959753
Expansionary Monetary Policy,monetary,financial,inflation,8,0.5192123590788063
Expansionary Monetary Policy,monetary,financial,unemployment,0,0.0
Expansionary Monetary Policy,monetary,financial,unemployment,1,-0.06583402282173755
Expansionary Monetary Policy,monetary,financial,unemployment,2,-0.30457392338130723
Expansionary Monetary Policy,monetary,financial,unemployment,3,-0.7090215649088787
Expansionary Monetary Policy,monetary,financial,unemployment,4,-0.741799740586794
Expansionary Monetary Policy,monetary,financial,unemployment,5,-0.554732830020099
Expansionary Monetary Policy,monetary,financial,unemployment,6,-0.6646754595316249
Expansionary Monetary Policy,monetary,financial,unemployment,7,-0.645610666695285
Expansionary Monetary Policy,monetary,financial,unemployment,8,-0.4176086321038747
Expansionary Monetary Policy,monetary,financial,current_account,0,0.0
Expansionary Monetary Policy,monetary,financial,current_account,1,-0.042461852512964256
Expansionary Monetary Policy,monetary,financial,current_account,2,0.3986519619973696
Expansionary Monetary Policy,monetary,financial,current_account,3,0.6902225009610604
Expansionary Monetary Policy,monetary,financial,current_account,4,0.8093044454309625
Expansionary Monetary Policy,monetary,financial,current_account,5,0.7331501821863332
Expansionary Monetary Policy,monetary,financial,current_account,6,0.7572478875161245
Expansionary Monetary Policy,monetary,financial,current_account,7,0.7330668842461071
Expansionary Monetary Policy,monetary,financial,current_account,8,0.5344776983916972
Expansionary Monetary Policy,monetary,financial,government_debt,0,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,1,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,2,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,3,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,4,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,5,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,6,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,7,0.0
Expansionary Monetary Policy,monetary,financial,government_debt,8,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,0,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,1,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,2,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,3,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,4,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,5,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,6,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,7,0.0
Expansionary Monetary Policy,monetary,financial,trade_balance,8,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,0,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,1,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,2,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,3,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,4,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,5,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,6,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,7,0.0
Expansionary Monetary Policy,monetary,financial,real_exchange_rate,8,0.0
Contractionary Monetary Policy,monetary,dsge,gdp_growth,0,0.0
Contractionary Monetary Policy,monetary,dsge,gdp_growth,1,0.03775027562885369
Contractionary Monetary Policy,monetary,dsge,gdp_growth,2,0.49615857977765665
Contractionary Monetary Policy,monetary,dsge,gdp_growth,3,0.8092243288956528
Contractionary Monetary Policy,monetary,dsge,gdp_growth,4,0.87575026908701
Contractionary Monetary Policy,monetary,dsge,gdp_growth,5,0.7422043435210266
Contractionary Monetary Policy,monetary,dsge,gdp_growth,6,0.488872257938529
Contractionary Monetary Policy,monetary,dsge,inflation,0,0.0
Contractionary Monetary Policy,monetary,dsge,inflation,1,0.1800302609678426
Contractionary Monetary Policy,monetary,dsge,inflation,2,0.8474875591234314
Contractionary Monetary Policy,monetary,dsge,inflation,3,1.0864799200034154
Contractionary Monetary Policy,monetary,dsge,inflation,4,1.2018518449687998
Contractionary Monetary Policy,monetary,dsge,inflation,5,1.0871703830193793
Contractionary Monetary Policy,monetary,dsge,inflation,6,0.7069068080929907
Contractionary Monetary Policy,monetary,dsge,unemployment,0,0.0
Contractionary Monetary Policy,monetary,dsge,unemployment,1,0.013791849479263943
Contractionary Monetary Policy,monetary,dsge,unemployment,2,-0.4890569739454944
Contractionary Monetary Policy,monetary,dsge,unemployment,3,-0.6683203164532429
Contractionary Monetary Policy,monetary,dsge,unemployment,4,-0.6020503891667354
Contractionary Monetary Policy,monetary,dsge,unemployment,5,-0.6277313738590621
Contractionary Monetary Policy,monetary,dsge,unemployment,6,-0.36208790204206937
Contractionary Monetary Policy,monetary,dsge,current_account,0,0.0
Contractionary Monetary Policy,monetary,dsge,current_account,1,-0.02587868615235451
Contractionary Monetary Policy,monetary,dsge,current_account,2,0.14974934451194416
Contractionary Monetary Policy,monetary,dsge,current_account,3,0.32677098991426423
Contractionary Monetary Policy,monetary,dsge,current_account,4,0.2785653754361337
Contractionary Monetary Policy,monetary,dsge,current_account,5,0.2869245538336058
Contractionary Monetary Policy,monetary,dsge,current_account,6,0.14939467669291645
Contractionary Monetary Policy,monetary,dsge,government_debt,0,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,1,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,2,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,3,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,4,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,5,0.0
Contractionary Monetary Policy,monetary,dsge,government_debt,6,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,0,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,1,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,2,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,3,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,4,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,5,0.0
Contractionary Monetary Policy,monetary,dsge,trade_balance,6,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,0,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,1,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,2,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,3,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,4,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,5,0.0
Contractionary Monetary Policy,monetary,dsge,real_exchange_rate,6,0.0
Contractionary Monetary Policy,monetary,svar,gdp_growth,0,0.0
Contractionary Monetary Policy,monetary,svar,gdp_growth,1,0.0424690600824604
Contractionary Monetary Policy,monetary,svar,gdp_growth,2,0.5581784022498638
Contractionary Monetary Policy,monetary,svar,gdp_growth,3,0.9103773700076093
Contractionary Monetary Policy,monetary,svar,gdp_growth,4,0.9852190527228863
Contractionary Monetary Policy,monetary,svar,gdp_growth,5,0.8349798864611548
Contractionary Monetary Policy,monetary,svar,gdp_growth,6,0.5499812901808451
Contractionary Monetary Policy,monetary,svar,inflation,0,0.0
Contractionary Monetary Policy,monetary,svar,inflation,1,0.15002521747320222
Contractionary Monetary Policy,monetary,svar,inflation,2,0.7062396326028596
Contractionary Monetary Policy,monetary,svar,inflation,3,0.9053999333361796
Contractionary Monetary Policy,monetary,svar,inflation,4,1.0015432041406667
Contractionary Monetary Policy,monetary,svar,inflation,5,0.9059753191828162
Contractionary Monetary Policy,monetary,svar,inflation,6,0.5890890067441589
Contractionary Monetary Policy,monetary,svar,unemployment,0,0.0
Contractionary Monetary Policy,monetary,svar,unemployment,1,0.016090491059141267
Contractionary Monetary Policy,monetary,svar,unemployment,2,-0.5705664696030768
Contractionary Monetary Policy,monetary,svar,unemployment,3,-0.7797070358621165
Contractionary Monetary Policy,monetary,svar,unemployment,4,-0.7023921206945246
Contractionary Monetary Policy,monetary,svar,unemployment,5,-0.7323532695022391
Contractionary Monetary Policy,monetary,svar,unemployment,6,-0.42243588571574753
Contractionary Monetary Policy,monetary,svar,current_account,0,0.0
Contractionary Monetary Policy,monetary,svar,current_account,1,-0.034504914869806017
Contractionary Monetary Policy,monetary,svar,current_account,2,0.19966579268259227
Contractionary Monetary Policy,monetary,svar,current_account,3,0.4356946532190191
Contractionary Monetary Policy,monetary,svar,current_account,4,0.3714205005815117
Contractionary Monetary Policy,monetary,svar,current_account,5,0.38256607177814117
Contractionary Monetary Policy,monetary,svar,current_account,6,0.199192902257222
Contractionary Monetary Policy,monetary,svar,government_debt,0,0.0
Contractionary Monetary Policy,monetary,svar,government_debt,1,0.0
Contractionary Monetary Policy,monetary,svar,government_debt,2,0.0
Contractionary Monetary Policy,monetary,svar,government_debt,3,0.0
Contractionary Monetary Policy,monetary,svar,government_debt,4,0.0
